bowl_name,knowledge_motion,knowledge_mixing_tool,task_name,run_id,task_instance_id,seed,world_name,experiment_condition,baseline_name,knowledge_query_success,knowledge_query_error,knowledge_prior_task,knowledge_cutting_tool,knowledge_cutting_position,knowledge_repetition,required_prerequisite,prerequisite_source,prerequisite_satisfied_initially,autonomous_execution_feasible,feasibility_reason,robot_decision,decision_reason,assistance_requested,assistance_type,assistance_completed,task_blocked_by_prerequisite,task_resumed_after_assistance,final_success,robot_name,outcome,succeeded_arm,tool_name,phase,total_attempts,retry_count,collision_failure_count,recovery_used,recovery_success,perturbation_applied,perturbation_type,object_aabb_min_x,object_aabb_min_y,object_aabb_min_z,object_aabb_max_x,object_aabb_max_y,object_aabb_max_z,object_size_x,object_size_y,object_size_z,object_volume_aabb,target_world_x,target_world_y,target_world_z,support_surface_name,support_world_x,support_world_y,support_world_z,support_yaw_rad,support_size_x,support_size_y,support_size_z,object_world_x,object_world_y,object_world_z,object_quat_x,object_quat_y,object_quat_z,object_quat_w,object_roll_rad,object_pitch_rad,object_yaw_rad,anchor_local_x,anchor_local_y,anchor_local_z,anchor_norm_x,anchor_norm_y,anchor_norm_z,cut_normal_local_x,cut_normal_local_y,cut_normal_local_z,cut_normal_world_x,cut_normal_world_y,cut_normal_world_z,cut_normal_world_yaw_rad,robot_world_x,robot_world_y,robot_world_z,robot_quat_x,robot_quat_y,robot_quat_z,robot_quat_w,robot_roll_rad,robot_pitch_rad,robot_yaw_rad,robot_to_object_yaw_rad,object_yaw_relative_to_robot_rad,object_yaw_relative_to_approach_rad,cut_normal_relative_to_robot_rad,cut_normal_relative_to_approach_rad,cut_normal_approach_abs_angle_rad,cut_normal_approach_parallel_score,cut_normal_approach_perpendicular_score,technique_name,slice_thickness_m,num_cuts_x,pointer_stride,motion_approach_completed,motion_waypoint_count,motion_stopped_waypoint_index,motion_stopped_waypoint_fraction,motion_stopped_waypoint_x,motion_stopped_waypoint_y,motion_stopped_waypoint_z,motion_stopped_distance_m,motion_progress_note,execution_time_s,failure_count,failure_reasons
bowl_0001,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,e3ff8d14-ba31-4f4b-92d0-eb4477f65aa8,bowl_0001,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,tiago,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.083389,-0.086147,-0.038965,0.084201,0.080646,0.041585,0.16759,0.166793,0.08055,0.00225161,1.591182,0.930325,0.9,map,0.0,0.0,0.0,0.0,,,,1.591182,0.930325,0.9,0.0,0.0,0.781621,0.623754,0.0,-0.0,1.794519,,,,,,,,,,,,,,0.655748,0.867525,0.0985,0.0,0.0,0.214168,0.976797,0.0,-0.0,0.43168,,,,,,,,,Whisking,,,0,,,,,,,,,,7.7262,0,
bowl_0002,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,e3ff8d14-ba31-4f4b-92d0-eb4477f65aa8,bowl_0002,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,tiago,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.111185,-0.114863,-0.051953,0.112268,0.107528,0.055447,0.223453,0.222391,0.1074,0.00533716,1.567763,0.360367,0.9,map,0.0,0.0,0.0,0.0,,,,1.567763,0.360367,0.9,0.0,0.0,0.732069,0.68123,0.0,-0.0,1.642709,,,,,,,,,,,,,,0.790165,0.351779,0.0985,0.0,0.0,0.114957,0.99337,0.0,-0.0,0.230424,,,,,,,,,Whisking,,,0,,,,,,,,,,8.2833,0,
bowl_0003,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,e3ff8d14-ba31-4f4b-92d0-eb4477f65aa8,bowl_0003,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,tiago,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.111185,-0.114863,-0.051953,0.112268,0.107528,0.055447,0.223453,0.222391,0.1074,0.00533716,1.573915,-0.333976,0.9,map,0.0,0.0,0.0,0.0,,,,1.573915,-0.333976,0.9,0.0,0.0,-0.618833,0.785522,0.0,-0.0,-1.334513,,,,,,,,,,,,,,0.739618,-0.409187,0.0985,0.0,0.0,0.250122,0.968214,0.0,-0.0,0.505612,,,,,,,,,Whisking,,,0,,,,,,,,,,7.4424,0,
bowl_0004,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,e3ff8d14-ba31-4f4b-92d0-eb4477f65aa8,bowl_0004,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,tiago,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,-0.981269,1.683113,0.902,map,0.0,0.0,0.0,0.0,,,,-0.981269,1.683113,0.902,0.0,0.0,0.367549,0.930004,0.0,-0.0,0.752743,,,,,,,,,,,,,,-0.261149,1.684324,0.0985,0.0,0.0,0.993319,-0.115404,0.0,-0.0,-2.91027,,,,,,,,,Whisking,,,0,,,,,,,,,,9.1513,0,
bowl_0005,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,e3ff8d14-ba31-4f4b-92d0-eb4477f65aa8,bowl_0005,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,tiago,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.097287,-0.100505,-0.045459,0.098234,0.094087,0.048516,0.195521,0.194592,0.093975,0.00357548,-1.038508,1.096686,0.902,map,0.0,0.0,0.0,0.0,,,,-1.038508,1.096686,0.902,0.0,0.0,1.0,0.000984,0.0,-0.0,3.139626,,,,,,,,,,,,,,-0.328511,1.085045,0.0985,0.0,0.0,0.992089,-0.12554,0.0,-0.0,-2.889849,,,,,,,,,Whisking,,,0,,,,,,,,,,12.5377,0,
bowl_0006,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,e3ff8d14-ba31-4f4b-92d0-eb4477f65aa8,bowl_0006,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,tiago,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,-1.011649,2.128234,0.902,map,0.0,0.0,0.0,0.0,,,,-1.011649,2.128234,0.902,0.0,0.0,0.879442,-0.476006,0.0,-0.0,-2.149377,,,,,,,,,,,,,,-0.249942,2.129668,0.0985,0.0,0.0,0.99306,-0.117606,0.0,-0.0,-2.905835,,,,,,,,,Whisking,,,0,,,,,,,,,,12.2749,0,
bowl_0007,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,e3ff8d14-ba31-4f4b-92d0-eb4477f65aa8,bowl_0007,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,tiago,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,-0.900629,2.375312,0.902,map,0.0,0.0,0.0,0.0,,,,-0.900629,2.375312,0.902,0.0,0.0,0.997723,0.067452,0.0,-0.0,3.006587,,,,,,,,,,,,,,-0.194431,2.392279,0.0985,0.0,0.0,0.992794,-0.119838,0.0,-0.0,-2.90134,,,,,,,,,Whisking,,,0,,,,,,,,,,11.9295,0,
bowl_0008,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,e3ff8d14-ba31-4f4b-92d0-eb4477f65aa8,bowl_0008,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,tiago,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.097287,-0.100505,-0.045459,0.098234,0.094087,0.048516,0.195521,0.194592,0.093975,0.00357548,-1.179343,0.735846,0.902,map,0.0,0.0,0.0,0.0,,,,-1.179343,0.735846,0.902,0.0,0.0,0.908888,0.41704,0.0,-0.0,2.28122,,,,,,,,,,,,,,-1.161582,0.017879,0.0985,0.0,0.0,0.78109,0.624418,0.0,-0.0,1.79282,,,,,,,,,Whisking,,,0,,,,,,,,,,11.6914,0,
bowl_0009,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,e3ff8d14-ba31-4f4b-92d0-eb4477f65aa8,bowl_0009,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,tiago,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,-1.257271,1.585294,0.902,map,0.0,0.0,0.0,0.0,,,,-1.257271,1.585294,0.902,0.0,0.0,-0.264736,0.964321,0.0,-0.0,-0.535859,,,,,,,,,,,,,,-1.949491,1.552297,0.0985,0.0,0.0,0.132034,0.991245,0.0,-0.0,0.264841,,,,,,,,,Whisking,,,0,,,,,,,,,,11.4022,0,
bowl_0010,http://www.ease-crc.org/ont/meals#spiral,http://www.ease-crc.org/ont/meals#Whisk,bowl_mixing,e3ff8d14-ba31-4f4b-92d0-eb4477f65aa8,bowl_0010,910001,kitchen,full_system,task_knowledge+htn+constraint_planning,True,,,,,,,knowledge_base,True,True,ok,mix,primary_success,False,,False,False,False,True,tiago,success,RIGHT,whisk_right,primary,1,0,0,False,False,False,,-0.069491,-0.071789,-0.032471,0.070167,0.067205,0.034654,0.139658,0.138995,0.067125,0.00130302,-1.22593,2.700671,0.902,map,0.0,0.0,0.0,0.0,,,,-1.22593,2.700671,0.902,0.0,0.0,-0.409364,0.912371,0.0,-0.0,-0.843513,,,,,,,,,,,,,,-1.886691,2.409691,0.0985,0.0,0.0,0.299896,0.953972,0.0,-0.0,0.609168,,,,,,,,,Whisking,,,0,,,,,,,,,,9.8599,0,
